CLAVE,DESCRIPCION,PRECIOS,
7500000000010,PIÑA EN ALMIBAR AGROVER REBANADA ,$695.50,
7500000000011,BL CLORALEX 15/950 ML                                       ,$125.43,
7500000000012,BL CLORALEX 20/500 ML                                       ,$102.76,
7500000000016,LIM PINOL 20/500 ML                                   ,$195.41,
7500000000019,ENSUEÑO PRIMAV. ZERO 12/850 ML                              ,$155.72,
7500000000022,ENSUEÑO ZERO ENJ BEBE 12/850 ML                             ,$155.35,
7500000000023,ENSUEÑO ZERO ENJ PEP/BAM 12/850 ML                          ,$155.74,
7500000000025,ENSUEÑO ZERO ENJ SENS/NAT 12/850 ML                         ,$155.74,
7500000000028,ENSUEÑO NAT AVENA+ALM 12/850 ML                             ,$155.74,
7500000000029,ENSUEÑO NAT MANZ+ALOE 12/850 ML                             ,$155.70,
7500000000032,ENSUEÑO FRE PRIMAVERAL PROTCOLOR 12/850 ML                  ,$153.37,
7500000000293,ARROZ MORELOS GRANO LARGO RJ 10/1 KG                        ,$141.75,
7500000000301,JUMEX LATA BOTELLA NECTAR MANGO ,$199.50,
7500000000319,JUMEX AMI NARANJA 18/500ML                     ,$68.37,
7500000000344,CH MORENA RAJAS 6/2.8 GR                                    ,$388.28,
7500000000345,CH MORENA JALAPEÑOS 6/2.800 KG                              ,$238.23,
7500000000349,CH MORENA RAJAS VERDES 12/800 GR                            ,$269.78,
7500000000350,CH MORENA RAJAS 24/380 GR                                   ,$311.81,
7500000000351,CH MORENA RAJAS 40/100 GR                                   ,$153.13,
7500000000401,GA EMPERADOR VAINILLA 16/101 GR                             ,$110.57,
7500000000406,GA EMPERADOR NUEZ 101 GR                                    ,$109.25,
7500000000420,AZUCARADAS MAIZORO 30/500 GR                                ,$764.24,
7500000000430,ABLANDADOR DE CARNE MC CORMICK 12/155 GR                    ,$158.22,
7500000000436,CHAMPIÑONES HERDEZ ENTERO 24/186 GR                         ,$334.27,
7500000000437,CHAMPIÑONES HERDEZ ENTERO 24/380 GR                         ,$592.08,
7500000000439,CHAMPIÑONES HERDEZ REBANADOS 24/380 GR                      ,$546.73,
7500000000441,CHICHARO HERDEZ CON ZANAHORIA 225 GR                        ,$304.74,
7500000000443,CHICHARO HERDEZ FINO 48/215 GR                              ,$251.56,
7500000000444,ENSALADA DE LEGUMBRES HERDEZ 220 GR                         ,$244.85,
7500000000447,GRANO DE ELOTE HERDEZ 24/220 GR                             ,$167.50,
7500000000449,MAYONESA MC CORMICK #4 24/105 GR         ,$225.60,
7500000000451,MAYONESA MC CORMICK #64 1.400 KG         ,$501.15,
7500000000452,MAYONESA MC CORMICK #8 24/190 GR         ,$311.30,
7500000000453,MAYONESA MC CORMICK INST 3.4 GR            ,$656.27,
7500000000457,MOSTAZA MC CORMICK #4 24/115 GR           ,$179.19,
7500000000458,MOSTAZA MC CORMICK #8 24/210 GR           ,$168.94,
7500000000462,CHAMPIÑONES HERDEZ REBANADO 12/800 GR                       ,$578.07,
7500000000464,PURE DE TOMATE DEL FUERTE 24/210 GR      ,$106.96,
7500000000469,SALSA BUFALO PICANTE CLASICA 24/150 GR  ,$189.34,
7500000000483,SAL CON CEBOLLA MC CORMICK 126 GR        ,$169.24,
7500000000502,ACEITUNA BUFALO MANZ 24/190 GR                              ,$284.44,
7500000000523,MERMELADA DEL MONTE MANGO 24/270 GR  ,$358.85,
7500000000559,CERILLO CLASICO 20/5/10 PZ                                  ,"$1,244.40",
7500000000561,CERILLO MANOLA 10/5/50 PZ                                   ,$513.03,
7500000000577,DT ARIEL REG 6/3 KG                                         ,$586.68,
7500000000590,DT BOLD BEBE 18/900 GR                                      ,$375.32,
